artist,song,energy_level,youtube_code
Janes Addiction,Just Because,0.996,sb3FJdRk-tI
Andrew W.K.,I Get Wet,0.995,nBPCaArtW0k
Slayer,Raining Blood,0.995,z8ZqFlw6hYg
Andrew W.K.,Party Til You Puke,0.995,8q1F2l0CcMw
Slayer,Angel Of Death,0.9940000000000001,K6_zsJ8KPP0
Slayer,Disciple,0.9940000000000001,tS0mQ25ezq4
Jimmy Ruffin,Hold On To My Love - Rerecorded,0.9940000000000001,n6ZzNOe_3Y0
Slayer,World Painted Blood,0.9940000000000001,_wRH9esYgnk
Slayer,Repentless,0.9940000000000001,yjb0j9l1sz4
Andrew W.K.,Music Is Worth Living For,0.9940000000000001,-CBTyi-ovO8
Spice Girls,Spice Up Your Life,0.993,9wfpXI5PKlw
Andrew W.K.,Party Hard,0.992,WccfbPQNMbg
Queens Of The Stone Age,Go With The Flow,0.991,DcHKOC64KnE
Anthrax,Caught In A Mosh,0.991,zlLn0UicWrM
Eagles Of Death Metal,Miss Alissa,0.991,_Yr1-BBMaMA
Slayer,South Of Heaven,0.991,XtLvlaGJJEU
Morrissey,Suedehead - 2011 Remaster,0.9890000000000001,xnp5RAo3-yc
Sum 41,No Reason,0.9890000000000001,yHqqCmcF0WI
Queens Of The Stone Age,3's & 7's,0.9890000000000001,BgVfjXA_QY0
Sex Pistols,Bodies,0.9890000000000001,yzFFtBsl5ps
The Killers,When You Were Young,0.988,ff0oWESdmH0
Megadeth,Hangar 18 - Remastered 2004,0.988,vxcc5Xo05DE
Hoobastank,Same Direction,0.988,c_UOL1-weMc
Slayer,War Ensemble,0.988,jqnC54vbUbU
Anthrax,Among The Living,0.987,qZ0-Yj52ErQ
Slayer,Dead Skin Mask,0.987,VNFglDcW7dQ
Anthrax,I Am The Law,0.987,p3ta5ahB-6w
Guns Roses,Welcome To The Jungle,0.987,o1tj2zJ2Wvg
Guns Roses,You Could Be Mine,0.985,0USm2TE7eNU
Nine Inch Nails,The Hand That Feeds,0.985,xwhBRJStz7w
Megadeth,Holy Wars...The Punishment Due - Remastered 2004,0.985,tP_-YIhgF3w
Killing Joke,Asteroid,0.9840000000000001,ShNBGIbo2H8
Andrew W.K.,It's Time To Party,0.9840000000000001,_US9odwPBhk
Motley ,Same Ol' Situation (S.O.S.),0.9840000000000001,C2UTzWKGJqw
Marilyn Manson,The Fight Song,0.983,9GFI6Rf-IkI
Nine Inch Nails,Wish,0.983,kuoFiIFkdAA
Rob Zombie,Two-Lane Blacktop,0.982,UYyc6UNFzfk
Megadeth,Tornado Of Souls - Remastered 2004,0.982,Lcm9qqo_qB0
Eagles Of Death Metal,I Want You So Hard (Boy's Bad News),0.981,MZrctLnsF4M
Michael Jackson,Smooth Criminal - 2012 Remaster,0.981,wkJTd_wKl0k
Motorhead,Ace of Spades,0.981,pWB5JZRGl0U
Jimmy Eat World,Criminal Energy,0.98,Yi-fMFNoooI
Iron Maiden,The Wicker Man - 2015 Remaster,0.98,GD_G-7_A35Y
Guns Roses,Paradise City,0.98,Rbm6GXllBiw
Sparks,Send It,0.9790000000000001,VZHxGp7Ij7Y
Kaiser Chiefs,I Predict a Riot,0.9790000000000001,hamKl-su8PE
Sex Pistols,Holidays in the Sun,0.9790000000000001,2Ah1JM9mf60
Megadeth,In My Darkest Hour - Remastered 2004,0.978,psu9D1Qgt_I
Beastie Boys,So What'Cha Want - 1999 - Remaster,0.978,_24wbiA5eD8
Sex Pistols,Anarchy in the U.K.,0.978,cBojbjoMttI
Sammy Hagar,Trust Fund Baby,0.978,ZItdb1ba5As
Motley ,Kickstart My Heart,0.977,NrOemQaEJGU
The Chemical Brothers,Block Rockin' Beats,0.977,iTxOKsyZ0Lw
Nelly,Promiscuous,0.977,0J3vgcE5i2o
Sham 69,If The Kids Are United,0.976,2GQMIXGRjaw
Meat Loaf,Dead Ringer for Love (with Cher),0.975,KSTIsZULYmY
Rise Against,Make It Stop (September's Children),0.975,XP4clbHc4Xg
Rob Zombie,Superbeast,0.975,uHBtpqbOKXk
The Killers,Somebody Told Me,0.975,Y5fBdpreJiU
Phil Manzanera,El camino del exceso - Remix 2000 Remastered Version,0.975,Q2Ptoim8rco
Poison,Nothin' But A Good Time - Remastered 2006,0.9740000000000001,YDg5vosBp9A
Bon Jovi,Bad Medicine,0.973,eOUtsybozjg
Hoobastank,Out Of Control,0.973,E17HnEMloDc
Rob Zombie,Sick Bubblegum,0.972,AeUwikDrA9I
Saint Etienne,He's On The Phone,0.972,Ddr9EpezslU
Metallica,Whiskey In The Jar,0.972,wsrvmNtWU4E
The Cure,Just Like Heaven,0.971,n3nPiBai66M
Sparks,Sick Like That,0.971,y5JyDGg2HKo
Rise Against,I Don’t Want To Be Here Anymore,0.971,FqQsZ8g8KHQ
Siouxsie The Banshees,Cities In Dust,0.971,wsOHvP1XnRg
Helmet,Crashing Foreign Cars,0.97,IfiL_xC1ekE
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,0.97,e1efsq1GFpE
Red Hot Chili Peppers,By the Way,0.97,JnfyjwChuNU
INXS,Suicide Blonde,0.97,psDTiUV0PNI
Iggy Pop,Lust For Life,0.97,jQvUBf5l7Vw
Iron Maiden,2 Minutes to Midnight - 2015 Remaster,0.97,xpCQE5jP538
Rise Against,Prayer Of The Refugee,0.9690000000000001,9-SQGOYOjxs
Slayer,Seasons In The Abyss,0.9690000000000001,DECp8LKurKs
Poison,Ride The Wind,0.9690000000000001,juhBVAnLkHk
John Mellencamp,Authority Song,0.9690000000000001,wsEwK69LXjQ
The Damned,New Rose,0.9690000000000001,ThcXEqxI_IQ
Rob Zombie,Helter Skelter,0.968,fAkjKzfzBLE
Sex Pistols,Problems,0.968,Xmk1RREk2hc
Dio,We Rock,0.968,kE__YoKNnho
Slick Rick,La-Di-Da-Di,0.968,zM0KAh5w7Rs
INXS,New Sensation,0.9670000000000001,iV-QGQVZv0k
Motley ,Dr. Feelgood,0.9670000000000001,trGX3ET3jTQ
Kaiser Chiefs,People Know How To Love One Another,0.966,ulZjajyNjVA
Apache Indian,Raggamuffin Girl,0.965,N0B636EIlyE
The Roots,"My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix",0.965,0TCVAl8j218
Jimmy Eat World,Pain,0.965,uaP6KgwbOvo
Poco,Quiero Estar a la Mierda Mirando el Cielo/Suelo,0.9640000000000001,3ZDGFSX9HPE
Rainbow,Long Live Rock N Roll,0.9640000000000001,csmfoNEY8F8
Killing Joke,Eighties - 2007 Digital Remaster,0.9640000000000001,qqFFIfRv8ik
Metallica,Seek & Destroy (Remastered),0.963,PULLU4k8Of0
Roger Daltrey,I Keep It To Myself,0.963,GwLeTPVuD3c
Robbie Williams,Let Me Entertain You,0.963,ymPu2PdLW3I
Rob Zombie,Dragula,0.963,EqQuihD0hoI
Jimi Hendrix,Crosstown Traffic,0.963,9so3U_27tVo
Magazine,Sou boy,0.9620000000000001,rZN0fb3-mrM
Jadakiss,We Gonna Make It,0.9620000000000001,p6TrQzNTrRA
Papa Roach,Last Resort - The Rework,0.9620000000000001,HGrlPEXdi38
Ray Charles,Mess Around,0.9620000000000001,iNe5npkid-s
Status Quo,Rockin' All Over The World,0.9620000000000001,Yw_sJifUYgM
The Kooks,Always Where I Need To Be,0.961,lTURIgloxyc
Papa Roach,Between Angels And Insects,0.961,H2jCbXiEQI4
Tim McGraw,"I Like It, I Love It",0.961,yHtLF6IicNk
Sex Pistols,No Feelings,0.961,wHiGR0iuTUo
Bon Jovi,You Give Love A Bad Name,0.96,KrZHPOeOxQQ
Diana Ross The Supremes,Love Child,0.96,JdmGO-GvHyo
Bruce Springsteen,Glory Days,0.96,6vQpW9XRiyM
Derek And The Dominos,Why Does Love Got To Be So Sad? - 40th Anniversary Version / 2010 Remastered,0.96,9-nRTgCD4Tc
Burning Spear,African Postman,0.96,scofw2CWQN8
Traveling Wilburys,She's My Baby,0.96,BnD0H4VeHuY
Tangerine Dream,Minor Turbulence,0.9590000000000001,EZGN0-uF1bU
Little Big Town,Day Drinking,0.9590000000000001,-NPqM3vPDg8
Ice Cube,No Vaseline,0.9590000000000001,bvRc7pwnt0U
Iron Maiden,Wasted Years - 2015 Remaster,0.9590000000000001,ht6xAMil8oU
Blink-182,The Rock Show,0.9590000000000001,z7hhDINyBP0
Rob Zombie,Dead City Radio And The New Gods Of Supertown,0.958,ey-AmU6Nbgk
Andrew W.K.,Girls Own Love,0.958,ri7fU5xhgFk
Roger Daltrey,As Long As I Have You,0.958,8MYrSo50xpw
Placebo,Nancy Boy,0.958,PBxuq_eWW94
Poison,Talk Dirty To Me,0.9570000000000001,xCChxBSRo1Y
Stereo MCs,Bring It On (path To The Mind And The Soul And The Spirit),0.9570000000000001,3gy5hbaYXno
Heaven 17,With This Ring Let Me Go - Radio Edit,0.9570000000000001,OJ8W8DNlOcs
Sum 41,The New Sensation,0.9570000000000001,R-Pv0mvI-gU
The Roots,The Seed (2.0),0.9570000000000001,ojC0mg2hJCc
The Roots,The Fire,0.9570000000000001,UfBOeu9m64E
Tom Petty,Runnin' Down A Dream,0.956,Y1D3a5eDJIs
Kaiser Chiefs,Everyday I Love You Less and Less,0.956,xAkg4cwJp1Y
Queens Of The Stone Age,Little Sister,0.956,hGRqnNEOpe0
The Chemical Brothers,Star Guitar,0.956,0S43IwBF0uM
Motorhead,Heroes,0.955,J06yQb4lbPk
Andrew W.K.,She Is Beautiful,0.955,0ZyhB1-Yb4U
Cheap Trick,Surrender,0.955,1sAm5UCJ9vA
Level 42,Hot Water,0.9540000000000001,0Phxpws87WE
Jadakiss,F vs J Intro,0.9540000000000001,vrEQ2q7sGIs
Eminem,Not Afraid,0.9540000000000001,j5-yKhDd64s
Motley ,Shout At The Devil,0.953,tiqY2Mf0nIw
Def Leppard,Pour Some Sugar On Me - Remastered 2017,0.953,eiOIDqRKo0Y
Papa Roach,She Loves Me Not,0.953,aoZEtBQJN4c
Motorhead,Killed by Death,0.953,FL7-sbiGlzw
The Kinks,Picture Book - 2018 Stereo Remaster,0.9520000000000001,LMJsWx2CQTE
Steven Tyler,(It) Feels So Good,0.9520000000000001,BM39ya_-XQM
Bruce Springsteen,Born in the U.S.A.,0.9520000000000001,EPhWR4d3FJQ
Guns Roses,Sweet Child O' Mine,0.9520000000000001,1w7OgIMMRc4
The Killers,Run For Cover,0.951,XO7JGfqPB0s
Sparks,Ah Yeah So What - WAYF Edit,0.951,dmGDWmavs7A
John Mellencamp,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),0.951,mlWjUMSSJVY
Killing Joke,You'll Never Get To Me,0.951,FDQ8Iv2By_A
Herbie Hancock,Rockit,0.951,GHhD4PD75zY
Blink-182,What's My Age Again?,0.951,K7l5ZeVVoCA
Jay-Z,Points of Authority / 99 Problems / One Step Closer,0.951,kBnJnXq4YQ8
Sam Hunt,Leave The Night On,0.951,BuMiMBjcvWU
Rise Against,Help Is On The Way,0.951,JHiqGqoIGII
Soundgarden,My Wave,0.951,HEbYxEXM2cE
The Style Council,Shout To The Top - USA Remix,0.951,IhZHLIOSd0k
Eagles Of Death Metal,Wannabe In L.A,0.95,TtIusq_qZ3Q
Nazareth,Razamanaz,0.95,fpeI5Z4vO-4
Poco,Jardines,0.9490000000000001,ssKq1_gQmsM
Sum 41,Still Waiting,0.9490000000000001,qO-mSLxih-c
Robert Palmer,Mercy Mercy Me / I Want You (Medley),0.9490000000000001,1q77P4mXnPQ
Siouxsie The Banshees,Kiss Them For Me,0.9490000000000001,HpcNaqkrPm8
Arcade Fire,Creature Comfort,0.9490000000000001,xzwicesJQ7E
Luke Bryan,What Makes You Country,0.9490000000000001,4iLV13SBX6k
John Fogerty,Centerfield,0.948,Xq3hEMUeBGQ
Rob Zombie,Living Dead Girl,0.948,BvsMPOfblfg
A Thousand Horses,Livin' My Best Life,0.948,ZAGk7kYp7k4
Sex Pistols,No Future - God Save the Queen,0.948,-BZQLe9BABc
Tesla,Cumin' Atcha Live,0.9470000000000001,AQYoSj1Iaac
Dio,Rainbow in the Dark,0.9470000000000001,zcsE9ObDPxA
The Cadillac Three,Party Like You,0.9470000000000001,WuNLKoWOIEw
Peter Frampton,Show Me The Way - Live,0.9470000000000001,zLgeTtYwQ7o
Eagles Of Death Metal,"Blinded By The Light - From ""Super Troopers 2"" Soundtrack",0.9470000000000001,-1IUCqa2cE0
Dio,Straight Through the Heart,0.9470000000000001,4vDjoLOAA6k
Gary Moore,Out In The Fields,0.9470000000000001,Nt06PFWkJ1I
Beck,Night Running,0.946,fBc08yzdB4c
Rainbow,Stargazer,0.946,W6CjO0H2j0s
Steve Earle,The Galway Girl,0.946,_Lcnvd8BNFE
Marilyn Manson,Tainted Love,0.946,1ybaiCgOFUQ
DMX,Where The Hood At,0.946,6CqXgs-7ico
Brantley Gilbert,Read Me My Rights,0.945,TGTCDnFL2Nk
Evanescence,Bring Me To Life,0.945,3YxaaGgTQYM
Motley ,Looks That Kill,0.945,9wPHxQMgdKs
Cinderella,Shelter Me,0.945,fgi5xdftOIA
Marilyn Manson,This is Halloween - Pop Version,0.9440000000000001,MEbDXByF2EQ
Eagles Of Death Metal,I Only Want You,0.9440000000000001,sHY1xCl4Qak
Pearl Jam,Even Flow,0.9440000000000001,CxKWTzr-k6s
