A Thousand Horses;Smoke;0.788;gDWepmUXk3w
A Thousand Horses;Livin' My Best Life;0.948;ZAGk7kYp7k4
A Thousand Horses;(This Ain’t No) Drunk Dial;0.894;dCN4QH2peJQ
A Thousand Horses;Blaze of Somethin';0.825;a6wyFpE_UcY
A Thousand Horses;Preachin' to the Choir;0.825;HDTIeigXD9I
A Thousand Horses;Bridges;0.722;wDEWWiGK03E
A Thousand Horses;Trailer Trashed;0.944;vHxSUj4xdvw
A Thousand Horses;My Time's Comin';0.835;VIq0TRkKJf4
A Thousand Horses;Southernality;0.885;T0smnZmfhtw
A Thousand Horses;Tennessee Whiskey;0.751;VmuKKXpjem8
ABBA;Dancing Queen;0.884;xFrGuyw1V8s
ABBA;Gimme! Gimme! Gimme! (A Man After Midnight);0.492;XEjLoHdbVeE
ABBA;The Winner Takes It All;0.785;iyIOl-s7JTU
ABBA;Mamma Mia;0.754;unfzfe8f9NI
ABBA;Super Trouper;0.626;BshxCIjNEjY
ABBA;Take A Chance On Me;0.685;-crgQGdpZR0
ABBA;Waterloo;0.926;Sj_9CiNkkn4
ABBA;Chiquitita;0.555;p4QqMKe3rwY
ABBA;Fernando;0.526;dQsjAbZDx-4
ABBA;Lay All Your Love On Me;0.722;2seCB54Bv-c
Alan Jackson;Chattahoochee;0.706;JW5UEW2kYvc
Alan Jackson;It's Five O'Clock Somewhere;0.772;BPCjC543llU
Alan Jackson;Remember When;0.314;TTA2buWlNyM
Alan Jackson;I Don't Need Your Rockin' Chair - Version w/special guests;0.602;nElFaq5pYcY
Alan Jackson;Country Boy;0.684;JnX2BoZE9w4
Alan Jackson;Don't Rock the Jukebox;0.637;RMDq-MnpbTo
Alan Jackson;Gone Country;0.679;si-ja75bFvI
Alan Jackson;Drive (For Daddy Gene);0.579;dQe3DKDQRRs
Alan Jackson;Good Time;0.767;PSROm-vgVRk
Alan Jackson;Livin' On Love;0.55;DDXLmYyFu4I
Albert King;Born Under A Bad Sign - Mono Mix;0.483;qyqXDM3mFhM
Albert King;The Sky Is Crying;0.469;l-Ix0kP7954
Albert King;Crosscut Saw - Mono Mix;0.412;943N-m-f1_k
Albert King;I Wanna Get Funky;0.445;Jhx5Jg27txo
Albert King;Call It Stormy Monday;0.612;KphVMfNO18M
Albert King;The Hunter;0.417;i2_qXrLH34k
Albert King;I'll Play The Blues For You - Pt. 1;0.543;6SP5JHLqXM8
Albert King;I'll Play The Blues For You - Edit;0.317;6SP5JHLqXM8
Albert King;Travelin' Man;0.618;MhSp06x1o3c
