artist,song,energy_level,youtube_code
Elbow,Dexter & Sinister,0.79,-CR628yT7aE
Tim McGraw,Highway Don't Care,0.79,KmxaY_OVvWA
Marc Almond,"Say Hello, Wave Goodbye",0.79,y9KgEs3Zksg
Donna Summer,"I Feel Love - 12"" Version",0.79,6S2n5Tbq_0s
The Clash,The Magnificent Seven - Remastered,0.789,avBLBKL1FB0
The Tubes,She's A Beauty - Remastered 1991,0.789,k6YzNrA6Elk
Robert Cray,[Won't Be] Coming Home,0.7879999999999999,lHE44OvQiUc
The Smashing Pumpkins,1979 - Remastered 2012,0.7879999999999999,7LXO_I-uIis
Maroon 5,Sugar,0.7879999999999999,09R8_2nJtjg
A Thousand Horses,Smoke,0.7879999999999999,gDWepmUXk3w
Brantley Gilbert,What Happens In A Small Town,0.7879999999999999,u6BTbjFsW-w
Arrested Development,Mama's Always On Stage,0.7879999999999999,a8BB3wEutdg
Dio,Caught in the Middle,0.7879999999999999,W-W1j2NKtgY
Def Leppard,Foolin',0.787,9SnxBvH-0Mc
Herbie Hancock,I Thought It Was You,0.787,uU7ZCUGnROk
Guns Roses,Civil War,0.787,isCh4kCeNYU
Frida Lyngstad,I Know There's Something Going On - Single Version,0.787,p98PjtSfNWo
Deep Purple,Black Night,0.787,QuAKMlfxX7I
Tears For Fears,Advice For The Young At Heart,0.787,vBtzFOgKcv8
Frida Lyngstad,Shine,0.787,mJ0XZZ3p70g
New Edition,You're Not My Kind Of Girl,0.787,X5OqkD2OG-o
PiL Public Image Ltd,Disappointed,0.787,b6Bv887-JlM
George Strait,Blue Clear Sky,0.787,-kDotYBr8rc
Eminem,Lucky You (feat. Joyner Lucas),0.7859999999999999,mvSItvjFE1c
Jessie J,Bang Bang,0.7859999999999999,0HDdjwpPM3Y
Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.7859999999999999,-59jGD4WrmE
Sparks,Untouchable (feat. Aimee Dalton),0.7859999999999999,3R_QazyWV4I
Nicki Minaj,Bang Bang,0.7859999999999999,0HDdjwpPM3Y
Belinda Carlisle,Heaven Is A Place On Earth,0.7859999999999999,P-WP6POdTgY
Imagine Dragons,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.7859999999999999,-59jGD4WrmE
Cat Stevens,The First Cut Is The Deepest,0.7859999999999999,aBccr-aLu4I
Lady Antebellum,I Run To You,0.7859999999999999,Rs38lKxmtI4
Frank Zappa,Willie The Pimp,0.7859999999999999,eKYGaEafv4g
Def Leppard,Rock Of Ages,0.785,uXFxPN7Sqxo
Demi Lovato,Heart Attack,0.785,AByfaYcOm4A
Dr Dre,Keep Their Heads Ringin',0.785,TE891IHxyV8
Sheryl Crow,Real Gone,0.785,4YAjN_b0hXY
ABBA,The Winner Takes It All,0.785,iyIOl-s7JTU
No Doubt,Sunday Morning,0.785,PiBX-ESFDF0
Dierks Bentley,Different For Girls,0.785,xXeL3CHdLYk
The Game,Hate It Or Love It,0.785,BuMBmK5uksg
Aswad,Need Your Love - BBC Session Session Date: 1984 Programme Number: 99YJ7015,0.785,0x0r6mWNGI4
Imagine Dragons,Radioactive,0.784,ktvTqknDobU
INXS,Devil Inside,0.784,hv_zJrO_ptk
Big Country,Porrohman,0.784,sY3efKrLl3Q
U2,I Still Haven't Found What I'm Looking For,0.7829999999999999,e3-5YC_oHjE
Evanescence,Taking Over Me,0.7829999999999999,FMkWGoI-GpY
Status Quo,Down Down,0.7829999999999999,d1gYJDQXPOk
Counting Crows,Hanginaround,0.7829999999999999,ARiiO_41Id8
The Marvelettes,Please Mr. Postman - Single Version,0.7829999999999999,425GpjTSlS4
Sly Robbie,"Things Must Get Better (feat. The Congos, Bongo Herman, Cedric Myton & Don Camel)",0.7829999999999999,-26WOPpz8Bg
Heaven 17,Let Me Go,0.7829999999999999,pJrU9RIurFE
Bo Diddley,Road Runner,0.7829999999999999,ap8JtQZG73M
